title;category;tags;location_region;est_price_pp;min_participants;accessibility_flags;weather_dependent;season;image_url;is_mystery;short_description;long_description;physical_intensity;mental_challenge;social_interaction_level;price_comment;external_rating;lead_time_min_days;risk_level;travel_time_from_office_minutes;address;website;provider;phone;email
Stefan's Stubm: Kulinarik & Gemütlichkeit;food;restaurant, österreichische-küche, essen, gemütlich, teamevent;OOE;40;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Österreichische Küche in gemütlicher Stubn-Atmosphäre.;In der warmen Wirtshaus-Atmosphäre genießt ihr traditionelle Speisen, regionale Produkte und viel Gemütlichkeit – ideal für gesellige Teamessen und kleinere Feiern.;1;1;4;"Reiner Verzehrwert; für ein 3-Gänge-Menü inkl. Getränke solltet ihr mit ca. 40–50 € p.P. rechnen.";4,6;;low;2;Garnisonstraße 30, 4020 Linz;https://www.stubm.at/;Stefan's Stubm;'0732770555;office@stefans-stubm.at
Il Teatro: Italienischer Abend fürs Team;food;restaurant, italienisch, pizza, pasta, teamevent;OOE;35;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Italienisches Restaurant mit Pizza, Pasta und mediterranem Flair.;Bei Antipasti, Pasta und Pizza sitzt ihr gemeinsam in entspanntem Ambiente und könnt das Team bei gutem Essen näher zusammenbringen – vom Business-Lunch bis zum Abendessen.;1;1;4;"Pizza/Pasta ist günstiger (~25 € inkl. Drink); bei Fleisch/Fisch und Wein eher 40–50 € p.P.";4,5;;low;6;Hamerlingstraße 46, 4020 Linz;https://www.ilteatro.at/;Ristorante Il Teatro;'0732662580;office@ilteatro.at
Das Josef: Der Linzer Gastro-Klassiker;food;restaurant, wirtshaus, bar, österreichische-küche, teamevent;OOE;35;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Modernes Wirtshaus mit großer Speise- und Getränkekarte im Zentrum von Linz.;Zeitgemäße Wirtshausküche, viele Bier- und Weinoptionen und lebendige Atmosphäre machen das JOSEF zur vielseitigen Location für Teamdinner, Afterwork oder Stammtisch.;1;1;4;"À la carte Verzehr typischerweise 30–40 €; Buffet-Optionen für große geschlossene Gruppen möglich.";4,1;;low;5;Landstraße 49, 4020 Linz;https://josef.eu/;Josef Gastro GmbH;'0732773165;gastronomie@josef.eu
PAULs am Dom: Stylisches Dinner & Drinks;food;restaurant, burger, steak, bar, teamevent;OOE;50;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Stylishes Restaurant mit kreativer Küche und entspannter Bar-Atmosphäre.;Zwischen Burgern, Steaks, Bowls und modernen Klassikern findet jede:r etwas – kombiniert mit Drinks und urbanem Ambiente eine gute Wahl für lockere Firmenessen.;1;1;4;"Gehobenes Preisniveau; für Steaks/Burger plus Cocktails liegt man schnell bei 50 €+ p.P.";4,4;;low;8;Domplatz 3, 4020 Linz;https://www.pauls-linz.at/;PAULS;'0732783338;office@pauls-linz.at
Weinstadl Urfahr: Uriges Dinner & Wein;food;heuriger, restaurant, wein, österreichische-küche, teamevent;OOE;45;1;;Nein;summer;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Gemütlicher Weinstadl mit regionaler Küche und schöner Weinauswahl.;In uriger Atmosphäre genießt ihr bodenständige Speisen, Jausen und passende Weine – perfekt für ein entspanntes, geselliges Beisammensein abseits des Büroalltags.;1;1;4;"Typischer Heurigen-Konsum oder ""Reindl-Essen"" kommt auf ca. 35–45 € inkl. Weinbegleitung.";4,5;;low;9;Griesmayrstraße 18, 4040 Linz;https://weinstadl-urfahr.eatbu.com/?lang=de;Weinstadl Urfahr;'0732730620;office@weinstadl-urfahr.at
Eisstockschießen & Bratl: Winter-Teamevent;;eisstockschiessen, winter, sport, teambuilding, outdoor;OOE;28;;;Nein;winter;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;„Bratlschießen“ (Eisstockschießen) als lockerer Teamwettbewerb auf dem Eis.;In Teams tretet ihr beim Eisstockschießen gegeneinander an, feuert euch an, lacht über knappe Entscheidungen und erlebt spielerische Spannung – ein winterliches Teamevent mit Humor.;3;1;4;"Bahnmiete (geteilt) + Leihstock ca. 10 €; das klassische ""Bratl in der Rein"" danach kostet ca. 18–20 € p.P.";4,5;;low;6;Untere Donaulände 11, 4020 Linz;https://www.linzag.at/portal/de/privatkunden/freizeit/eissport/eisstockschiessen;LINZ AG (Parkbad);'073234006630;sport@linzag.at
Hollywood Megaplex: Privates Kino-Event;;kino, eventlocation, präsentation, teamevent, indoor;OOE;25;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Exklusiv angemieteter Kinosaal für Film, Präsentation oder Firmenfeier.;Ob gemeinsamer Kinofilm, Produktpräsentation oder Jahresrückblick – im eigenen Saal mit großer Leinwand, Popcorn und Kinofeeling schafft ihr einen besonderen Rahmen für euer Event.;1;1;3;"Kinoticket + Popcorn/Drink-Menü ca. 20–25 €; Saalmiete variiert je nach Uhrzeit/Film stark.";4,5;;low;14;Plus-Kauf-Straße 7, 4061 Pasching;https://www.megaplex.at/inhalt/kino-zum-mieten;Hollywood Megaplex;'0722963500;pasching@megaplex.at
Cocktail-Kurs im Lennox: Mix it up Team!;;cocktailkurs, bar, mixology, teambuilding, indoor;OOE;59;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Geführter Cocktailkurs mit Profibarkeepern – shaken, rühren, verkosten.;Ihr lernt die Basics der Cocktailkunst, mixt gemeinsam verschiedene Drinks (auch alkoholfrei) und könnt dabei in entspannter Bar-Atmosphäre viel Spaß haben und das Team besser vernetzen.;2;1;4;"Fixpreis für den Workshop (inkl. Mixen & Trinken der Cocktails); keine versteckten Kosten.";4,8;;low;6;Marienstraße 2a, 4020 Linz;https://www.lennox.at/events/cocktailkurse/;Lennox Bar;'06644104100;bar@lennox.at
ÄNGUS Downtown: Bestes Steak-Dinner Linz;food;restaurant, steak, grill, teamevent;OOE;60;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Steak- und Grillrestaurant im Zentrum – Fokus auf hochwertigem Fleisch.;Saftige Steaks, Burger und Beilagen in modernem Ambiente: Hier wird Fleischliebe großgeschrieben und euer Teamdinner zum herzhaften Genusserlebnis.;1;1;4;"Premium Steakhouse; für Vorspeise, Steak und guten Wein muss man mit 70–90 € p.P. kalkulieren.";4,7;;low;8;Pfarrpl. 13, 4020 Linz;https://xn--ngus-koa.at/;ÄNGUS Downtown;'0732771515;restaurant@aengus.at
Glorious Bastards: Pizza, Grill & Vibes;food;restaurant, steak, burger, pizza, craft-beer, teamevent;OOE;40;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Stylishes Meat-&-Pizza-Konzept mit offener Küche und Industrial-Charme.;Dry-Aged-Steaks, Holzofenpizza und Craft Beer treffen auf laute, lebendige Stimmung – ideal für Teams, die es modern, locker und etwas lauter mögen.;1;1;4;"Burger/Pizza-Konzern; mit 2-3 Getränken und Hauptspeise landet man meist bei soliden 35–45 €.";4,1;;low;7;Promenade 25, 4020 Linz;https://glorious-bastards.at/;Glorious Bastards;'0732773322;linz@glorious-bastards.at
Bratwurstglöckerl: Linzer Wirtshauskultur;food;restaurant, wirtshaus, grill, österreichische-küche, teamevent;OOE;35;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Traditionsgasthaus mit Fokus auf Bratwürste und deftige Hausmannskost.;In klassischer Wirtshausatmosphäre genießt ihr Grill- und Pfannengerichte, Bier und regionale Schmankerl – perfekt für unkomplizierte, bodenständige Teamabende.;1;1;4;"Bodenständig; Hauptspeise + Bier + Kaffee kommt meist auf faire 30–35 € p.P.";4,5;;low;9;Angerholzerweg 38, 4020 Linz;https://www.bratwurstgloeckerl.at/;Bratwurstglöckerl;'0732779388;office@bratwurstgloeckerl.at
Stadtliebe Linz: Urbanes Wirtshaus-Event;food;restaurant, bar, brunch, modern, teamevent;OOE;40;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Trendige Mischung aus Restaurant, Bar und Café mitten in Linz.;Von Frühstück und Brunch über kreative Speisen bis hin zu Cocktails am Abend – die Stadtliebe bietet einen flexiblen Rahmen für Teamtreffen zu fast jeder Tageszeit.;1;1;4;"Modernes Wirtshaus; Menüs für Gruppen ab ca. 35 €, mit Getränken realistisch 40–50 €.";4,1;;low;5;Landstraße 31, 4020 Linz;https://www.stadtliebe.at/;Stadtliebe Linz;'0732770605;office@stadtliebe.at
Wia z'haus Lehner: Schmankerl & Ausblick;food;wirtshaus, österreichische-küche, traditionell, teamevent;OOE;35;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Traditionelles Wirtshaus mit regionaler Küche und viel Gemütlichkeit.;Holzvertäfelung, große Portionen und herzlicher Service sorgen für klassisches Wirtshausgefühl – ideal für Teams, die es ehrlich, bodenständig und ohne Schnickschnack mögen.;1;1;4;"Klassischer Verzehr; ""Bratl""-Essen für Gruppen oft günstiger, à la carte ca. 35 € inkl. Getränke.";4,4;;low;8;Harbacher Str. 38, 4040 Linz;https://www.wiazhaus-lehner.at/;Wia z'haus Lehner;'0732730510;gasthaus@wiazhaus-lehner.at
Zur Eisernen Hand: Tradition & Genuss;food;gasthaus, österreichische-küche, traditionell, teamevent;OOE;35;;;Nein;summer;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Gutbürgerliches Gasthaus mit klassischen Speisen und saisonalen Gerichten.;In entspannter Atmosphäre genießt ihr regionale Küche, Stammtischflair und viel Platz für Gespräche – geeignet für gemütliche Teamessen oder Familienfeiern.;1;1;4;"Uriges Wirtshaus; Schnitzel/Bratl + Getränke liegen im Schnitt bei 30–40 € p.P.";4,6;;low;3;Eisenhandstraße 43, 4020 Linz;https://www.gasthaus-eisernehand.at/;Gasthaus Eiserne Hand;'0732773335;gasthaus@eisernehand.at
Rotax MAX Dome: High-Speed E-Kart Action;action;e-kart, kartfahren, action, indoor, teambuilding;OOE;45;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;E-Kart-Action;Auf der modernen Indoor-E-Kartbahn jagt ihr emissionsfrei über die Strecke, fahrt Qualifying und Rennen und kürt am Ende euer Team-Podium – Adrenalin pur, auch bei Schlechtwetter.;5;2;2;"Renn-Pakete (Training, Quali, Rennen) starten ab ca. 45 €; Premium-Events mit Siegerehrung bis 70 €.";4,5;;high;5;Holzstraße 3, 4020 Linz;https://www.rotaxmaxdome.com/linz/;Rotax MAX Dome;'0732799899;linz@rotaxmaxdome.com
Booosters Kartbahn: Rennfeeling für Teams;action;kartfahren, action, eventlocation, teambuilding, gastro;OOE;40;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Kart-Racing + Gastro für bis zu 100 Personen, „Rundum-Service“ für Firmenfeiern;"Vom Fahrerbriefing über Rennen bis zur Siegerehrung wird euer Event komplett organisiert; dazu kommen Gastronomie und Aufenthaltsbereiche – ideal für große Gruppen und Firmenfeste mit Racing-Faktor.";5;2;2;"Gruppen-Grand-Prix (inkl. Qualifying & Rennen) kostet ca. 38–45 € p.P.; Bahn exklusiv mietbar.";4,3;;high;14;Im Bäckerfeld 1, 4060 Leonding;https://booosters.at/;Booosters;'0722921700;office@booosters.at
Mission Games: Die Live Game-Show Linz;action;actiongame, rätsel, geschicklichkeit, teambuilding, indoor;OOE;34;;;Nein;all_year;https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80;Nein;Indoor-Actionspiel mit vielen Missionräumen, in denen Geschick und Teamwork zählen.;Auf mehreren hundert Quadratmetern warten unterschiedlichste Räume mit Aufgaben zu Reaktion, Geschicklichkeit, Logik und Teamplay – ihr sammelt Punkte, probiert Missionen aus und feuert euch gegenseitig an.;2;5;5;Preisstaffelung: Ab 13 Personen ca. 34 € p.P., kleinere Gruppen zahlen etwas mehr (bis 39 €).;4,9;;low;7;Hauptstraße 16/1. Stock, 4040 Linz;https://missiongames.at/;Mission Games;'06606363063;office@missiongames.at
